dataHora,ordem,linha,latitude,longitude,velocidade
12-28-2017 13:13:34,A63526,,"-22.86727","-43.258381",0
12-28-2017 13:14:07,C20066,,"-22.957571","-43.346478",6.67
12-28-2017 13:14:16,A29123,473,"-22.86845","-43.292149",0
12-28-2017 13:15:46,B28557,925,"-22.815701","-43.188099",0
12-28-2017 13:15:53,D53614,923,"-22.877159","-43.473068",0
12-28-2017 13:16:06,D87054,,"-22.91802","-43.607658",0
12-28-2017 13:16:10,B58043,,"-22.836611","-43.285889",0
12-28-2017 13:16:28,C42614,607,"-22.90414","-43.285629",3
12-28-2017 13:16:58,B28517,329,"-22.87855","-43.24099",28
12-28-2017 13:17:48,C44624,781,"-22.881189","-43.325432",0
12-28-2017 13:18:11,C44576,,"-22.882059","-43.32539",36
12-28-2017 13:18:43,A29043,476,"-22.90229","-43.275539",0
12-28-2017 13:18:50,B63105,,"-22.79269","-43.29483",25
12-28-2017 13:19:14,B73042,350,"-22.904421","-43.174839",0
12-28-2017 13:19:50,C30324,557,"-22.951559","-43.348148",0
12-28-2017 13:19:56,D12156,2337,"-22.86677","-43.258049",0
12-28-2017 13:19:59,A29059,472,"-22.896259","-43.241199",0
12-28-2017 13:20:44,C30183,565,"-23.011789","-43.31039",29
12-28-2017 13:20:46,D53590,,"-22.87682","-43.472858",29
12-28-2017 13:21:20,D53916,,"-22.883421","-43.494678",0
12-28-2017 13:21:23,D17101,885,"-22.94569","-43.657318",1
12-28-2017 13:21:36,B58160,,"-22.83671","-43.285801",0
12-28-2017 13:22:48,B58075,,"-22.836969","-43.286541",0
12-28-2017 13:22:52,A27562,548,"-23.001619","-43.364479",22
12-28-2017 13:22:57,C47917,,"-22.949471","-43.372959",34
12-28-2017 13:23:08,C47680,613,"-22.98064","-43.490891",0
12-28-2017 13:23:37,D87198,,"-22.917009","-43.60767",0
12-28-2017 13:24:05,A55079,434,"-22.91151","-43.225342",43
12-28-2017 13:25:06,A48168,201,"-22.910404","-43.2696",0
